Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
143,"TMRL Costa, FM Costa, CA Moreira…",Sarcopenia in COPD: relationship with COPD severity and prognosis,2015,Jornal Brasileiro de …,161,143,14.3,36,4
142,"NP Bachettini, RM Bielemann…",Sarcopenia as a mortality predictor in community-dwelling older adults: a comparison of the diagnostic criteria of the European Working Group on Sarcopenia …,2020,European journal of …nnnn,187,142,28.4,47,3
142,"PM Graffy, J Liu, PJ Pickhardt, JE Burns…",Deep learning-based muscle segmentation and quantification at abdominal CT: application to a longitudinal adult screening cohort for sarcopenia assessment,2019,The British journal of …,39,142,23.67,28,5
142,"DH Gu, MY Kim, YS Seo, SG Kim…",Clinical usefulness of psoas muscle thickness for the diagnosis of sarcopenia in patients with liver cirrhosis,2018,Clinical and …,479,142,20.29,28,5
142,"JZ Ilich, OJ Kelly, JE Inglis",Osteosarcopenic obesity syndrome: what is it and how can it be identified and diagnosed?,2016,Current gerontology and geriatrics …,102,142,15.78,47,3
142,"DJ Gibson, ST Burden, BJ Strauss, C Todd…",The role of computed tomography in evaluating body composition and the influence of reduced muscle mass on clinical outcome in abdominal malignancy: a …,2015,European journal of …oooo,767,142,14.2,28,5
141,"HJ An, K Tizaoui, S Terrazzino, S Cargnin…",Sarcopenia in autoimmune and rheumatic diseases: a comprehensive review,2020,International journal of …,711,141,28.2,28,5
141,"JJ Hopkins, RL Reif, DL Bigam…",The impact of muscle and adipose tissue on long-term survival in patients with stage I to III colorectal cancer,2019,Diseases of the Colon …,982,141,23.5,35,4
141,"JC Brown, BJ Caan, JA Meyerhardt…",The deterioration of muscle mass and radiodensity is prognostic of poor survival in stage I–III colorectal cancer: a population‐based cohort study (C‐SCANS),2018,"Journal of Cachexia, Sarcopenia and Muscle",878,141,20.14,35,4
140,"T Eslamparast, AJ Montano‐Loza, M Raman…",Sarcopenic obesity in cirrhosis—the confluence of 2 prognostic titans,2018,Liver …,127,140,20,35,4
140,"C Ismail, J Zabal, HJ Hernandez, P Woletz…",Diagnostic ultrasound estimates of muscle mass and muscle quality discriminate between women with and without sarcopenia,2015,Frontiers in Physiology,66,140,14,28,5
138,"ÉB Ní Bhuachalla, LE Daly, DG Power…",Computed tomography diagnosed cachexia and sarcopenia in 725 oncology patients: is nutritional screening capturing hidden malnutrition?,2018,"Journal of Cachexia, Sarcopenia and Muscle",177,138,19.71,35,4
138,"N Hara, M Iwasa, R Sugimoto, R Mifuji-Moroka…",Sarcopenia and sarcopenic obesity are prognostic factors for overall survival in patients with cirrhosis,2016,Internal …,91,138,15.33,28,5
138,"MA Minetto, C Caresio, T Menapace, A Hajdarevic…",Ultrasound-based detection of low muscle mass for diagnosis of sarcopenia in older adults,2016,Pm&r,176,138,15.33,28,5
137,"MA Clynes, MH Edwards, B Buehring…",Definitions of sarcopenia: associations with previous falls and fracture in a population sample,2015,Calcified tissue …,455,137,13.7,34,4
137,"W Kemmler, M Teschler, S Goisser…",Prevalence of sarcopenia in Germany and the corresponding effect of osteoarthritis in females 70 years and older living in the community: results of the FORMoSA …,2015,… interventions in aging,661,137,13.7,34,4
135,"WPM Dijksterhuis, MJ Pruijt…","Association between body composition, survival, and toxicity in advanced esophagogastric cancer patients receiving palliative chemotherapy",2019,"Journal of Cachexia, Sarcopenia and Muscle",726,135,22.5,45,3
135,"F Landi, R Calvani, E Ortolani, S Salini…",The association between sarcopenia and functional outcomes among older patients with hip fracture undergoing in-hospital rehabilitation,2017,Osteoporosis …,916,135,16.88,27,5
134,"L Androga, D Sharma, A Amodu…","Sarcopenia, obesity, and mortality in US adults with and without chronic kidney disease",2017,Kidney international …,478,134,16.75,34,4
134,"T Hida, H Shimokata, Y Sakai, S Ito, Y Matsui…",Sarcopenia and sarcopenic leg as potential risk factors for acute osteoporotic vertebral fracture among older women,2016,European Spine …,460,134,14.89,22,6
133,"HJ Stringer, D Wilson",The role of ultrasound as a diagnostic tool for sarcopenia,2018,The Journal of frailty &aging,363,133,19,67,2
133,"EA Bulut, P Soysal, AE Aydin, O Dokuzlar…",Vitamin B12 deficiency might be related to sarcopenia in older adults,2017,Experimental Gerontology,891,133,16.63,27,5
133,"W Kemmler, A Weissenfels, M Teschler…",Whole-body electromyostimulation and protein supplementation favorably affect sarcopenic obesity in community-dwelling older men at risk: the randomized …,2017,… interventions in aging,585,133,16.63,33,4
132,"A Bosy‐Westphal, MJ Müller",Diagnosis of obesity based on body composition‐associated health risks—Time for a change in paradigm,2021,Obesity Reviews,96,132,33,66,2
132,"M Sandini, M Patiňo, CR Ferrone…",Association between changes in body composition and neoadjuvant treatment for pancreatic cancer,2018,JAMA …,617,132,18.86,33,4
132,"G Pappalardo, A Almeida, P Ravasco",Eicosapentaenoic acid in cancer improves body composition and modulates metabolism,2015,Nutrition,979,132,13.2,44,3
131,"S Sobestiansky, K Michaelsson, T Cederholm",Sarcopenia prevalence and associations with mortality and hospitalisation by various sarcopenia definitions in 85–89 year old community-dwelling men: a …,2019,BMC Geriatrics,655,131,21.83,44,3
131,"AS Sousa, RS Guerra, I Fonseca, F Pichel, TF Amaral",Sarcopenia among hospitalized patients–a cross-sectional study,2015,Clinical nutrition,258,131,13.1,26,5
130,"M Kara, B Kaymak, AM Ata, Ö Özkal…",STAR—sonographic thigh adjustment ratio: a golden formula for the diagnosis of sarcopenia,2020,American journal of …,562,130,26,26,5
130,"F Bellanti, AD Romano, AL Buglio, V Castriotta…",Oxidative stress is increased in sarcopenia and associated with cardiovascular disease risk in sarcopenic obesity,2018,Maturitas,643,130,18.57,26,5
130,"K Godziuk, CM Prado, LJ Woodhouse…",The impact of sarcopenic obesity on knee and hip osteoarthritis: a scoping review,2018,BMC musculoskeletal …,89,130,18.57,33,4
130,EM MEDICA,Body composition influenced by progressive elastic band resistance exercise of sarcopenic obesity elderly women: a pilot randomized controlled trial,2017,Eur J Phys Rehabil Med,669,130,16.25,130,1
130,"H Fukushima, Y Nakanishi, M Kataoka…",Prognostic significance of sarcopenia in patients with metastatic renal cell carcinoma,2016,The Journal of …,580,130,14.44,33,4
130,"LI Filippin, VNO Teixeira, MPM da Silva…",Sarcopenia: a predictor of mortality and the need for early diagnosis and intervention,2015,Aging clinical and …,339,130,13,33,4
129,"CM Prado, JA Batsis, LM Donini…",Sarcopenic obesity in older adults: a clinical overview,2024,Nature reviews …,56,129,129,32,4
128,"S Bataille, M Serveaux, E Carreno, N Pedinielli…",The diagnosis of sarcopenia is mainly driven by muscle mass in hemodialysis patients,2017,Clinical Nutrition,138,128,16,26,5
128,"…, B Flamion, RA Fielding, AI Gasparik…",Recommendations for the conduct of clinical trials for drugs to treat or prevent sarcopenia,2016,Aging clinical and …,825,128,14.22,26,5
127,"H Wang, S Hai, L Cao, J Zhou, P Liu, BR Dong",Estimation of prevalence of sarcopenia by using a new bioelectrical impedance analysis in Chinese community-dwelling elderly people,2016,BMC Geriatrics,666,127,14.11,21,6
127,"DS Han, KV Chang, CM Li, YH Lin, TW Kao, KS Tsai…",Skeletal muscle mass adjusted by height correlated better with muscular functions than that adjusted by body weight in defining sarcopenia,2016,Scientific reports,279,127,14.11,18,7
126,"K Sweatt, WT Garvey, C Martins",Strengths and Limitations of BMI in the Diagnosis of Obesity: What is the Path Forward?,2024,Current obesity reports,822,126,126,42,3
126,"PM Cawthon, TG Travison, TM Manini…",… the link between lean mass and grip strength cut points with mobility disability and other health outcomes: proceedings of the sarcopenia definition and outcomes …,2020,The Journals of …,854,126,25.2,32,4
125,"HCG Nabuco, CM Tomeleri, RR Fernandes…","… with resistance training on body composition, muscular strength, functional capacity, and plasma-metabolism biomarkers in older women with sarcopenic obesity: A …",2019,Clinical nutrition …,512,125,20.83,31,4
125,"B Davies, F García, I Ara, FR Artalejo…",Relationship between sarcopenia and frailty in the Toledo study of healthy aging: a population based cross-sectional study,2018,Journal of the American Medical Directors Association,219,125,17.86,25,5
125,"LJ Falcon, MO Harris-Love","Sarcopenia and the new ICD-10-CM code: screening, staging, and diagnosis considerations",2017,Federal Practitioner,152,125,15.63,63,2
124,"BWJ Pang, SL Wee, LK Lau, KA Jabbar…",Prevalence and associated factors of sarcopenia in Singaporean adults—the Yishun Study,2021,Journal of the American Medical Directors Association,845,124,31,25,5
124,"SJ Waite, S Maitland, A Thomas, AJ Yarnall",Sarcopenia and frailty in individuals with dementia: a systematic review,2021,Archives of Gerontology and …,457,124,31,31,4
123,"E Orgel, NM Mueske, R Sposto, V Gilsanz…",Limitations of body mass index to assess body composition due to sarcopenic obesity during leukemia therapy,2018,Leukemia & …,69,123,17.57,25,5
123,"H Orell-Kotikangas, P Österlund, O Mäkitie…",Cachexia at diagnosis is associated with poor survival in head and neck cancer patients,2017,Acta oto …,988,123,15.38,31,4
123,"GR Williams, AM Deal, HB Muss, MS Weinberg…",Skeletal muscle measures and physical function in older adults with cancer: sarcopenia or myopenia?,2017,…,917,123,15.38,25,5
122,"E Benz, A Pinel, C Guillet, F Capel, B Pereira…",Sarcopenia and sarcopenic obesity and mortality among older people,2024,JAMA network …,72,122,122,20,6
121,J Chindapasirt,Sarcopenia in cancer patients,2016,Asian Pacific Journal of Cancer Prevention,309,121,13.44,121,1
121,"CM Toomey, A Cremona, K Hughes…",A review of body composition measurement in the assessment of health,2015,Topics in clinical …,944,121,12.1,30,4
119,"AS Ryan, FM Ivey, MC Serra, J Hartstein…",Sarcopenia and physical function in middle-aged and older stroke survivors,2017,Archives of physical …,868,119,14.88,24,5
118,"GR Williams, HN Rier, A McDonald…",Sarcopenia & aging in cancer,2019,Journal of geriatric …,266,118,19.67,30,4
116,"T Fukuda, R Bouchi, T Takeuchi, K Tsujimoto…",Sarcopenic obesity assessed using dual energy X-ray absorptiometry (DXA) can predict cardiovascular disease in patients with type 2 diabetes: a …,2018,Cardiovascular …,61,116,16.57,23,5
116,"T Kaido, Y Tamai, Y Hamaguchi, S Okumura…",Effects of pretransplant sarcopenia and sequential changes in sarcopenic parameters after living donor liver transplantation,2017,Nutrition,639,116,14.5,23,5
116,"D Srdic, S Plestina, A Sverko-Peternac…","Cancer cachexia, sarcopenia and biochemical markers in patients with advanced non-small cell lung cancer—chemotherapy toxicity and prognostic value",2016,Supportive care in …,610,116,12.89,29,4
115,"KYK Cheng, SKH Chow, VWY Hung…",Diagnosis of sarcopenia by evaluating skeletal muscle mass by adjusted bioimpedance analysis validated with dual‐energy X‐ray absorptiometry,2021,"Journal of Cachexia, Sarcopenia and Muscle",112,115,28.75,29,4
115,"Y Tamura, J Ishikawa, Y Fujiwara, M Tanaka…","Prevalence of frailty, cognitive impairment, and sarcopenia in outpatients with cardiometabolic disease in a frailty clinic",2018,BMC Geriatrics,226,115,16.43,23,5
115,"SJ Cushen, DG Power, KP Murphy, R McDermott…",Impact of body composition parameters on clinical outcomes in patients with metastatic castrate-resistant prostate cancer treated with docetaxel,2016,Clinical nutrition …,600,115,12.78,23,5
114,"S Phu, B Kirk, E Bani Hassan, S Vogrin, J Zanker…",The diagnostic value of the Short Physical Performance Battery for sarcopenia,2020,BMC Geriatrics,390,114,22.8,19,6
114,"GÃ Bahat, MM Oren, O Yilmaz, C KiliÃ, K Aydin…",Comparing SARC-F with SARC-CalF to screen sarcopenia in community living older adults,2018,"The Journal of Nutrition, Health and Aging",693,114,16.29,19,6
114,"C Beaudart, M Locquet, JY Reginster…",Quality of life in sarcopenia measured with the SarQoL®: impact of the use of different diagnosis definitions,2018,Aging clinical and …,214,114,16.29,29,4
113,"RD Boutin, L Lenchik",Value-added opportunistic CT: insights into osteoporosis and sarcopenia,2020,American Journal of Roentgenology,640,113,22.6,57,2
113,"SS Olesen, A Büyükuslu, M Køhler, HH Rasmussen…",Sarcopenia associates with increased hospitalization rates and reduced survival in patients with chronic pancreatitis,2019,Pancreatology,953,113,18.83,23,5
113,"GC Cipolli, MS Yassuda, I Aprahamian",Sarcopenia is associated with cognitive impairment in older adults: a systematic review and meta-analysis,2019,"The Journal of nutrition, health and …",858,113,18.83,38,3
113,"DL Vetrano, MS Pisciotta, A Laudisio…",Sarcopenia in Parkinson disease: comparison of different criteria and association with disease severity,2018,Journal of the American Medical Directors Association,289,113,16.14,28,4
112,"T Ji, Y Li, L Ma",Sarcopenic obesity: an emerging public health problem,2022,Aging and disease,45,112,37.33,37,3
112,"RA Merchant, S Seetharaman, L Au…","Relationship of fat mass index and fat free mass index with body mass index and association with function, cognition and sarcopenia in pre-frail older adults",2021,Frontiers in Endocrinology,507,112,28,28,4
112,"T Nishigori, S Tsunoda, H Okabe, E Tanaka…",Impact of sarcopenic obesity on surgical site infection after laparoscopic total gastrectomy,2016,Annals of surgical …,316,112,12.44,22,5
112,"TY Wu, CK Liaw, FC Chen, KL Kuo, WC Chie…",Sarcopenia screened with SARC-F questionnaire is associated with quality of life and 4-year mortality,2016,Journal of the American Medical Directors Association,920,112,12.44,19,6
111,"D Zopfs, S Theurich, N Grosse Hokamp, J Knuever…",Single-slice CT measurements allow for accurate assessment of sarcopenia and body composition,2020,European …,60,111,22.2,22,5
111,"IMG da Rocha, A Marcadenti…",Is cachexia associated with chemotherapy toxicities in gastrointestinal cancer patients? A prospective study,2019,"Journal of Cachexia, Sarcopenia and Muscle",980,111,18.5,37,3
111,"K Rustani, L Kundisova, PL Capecchi, N Nante…",Ultrasound measurement of rectus femoris muscle thickness as a quick screening test for sarcopenia assessment,2019,Archives of gerontology …,888,111,18.5,22,5
111,"S Ogawa, M Yakabe, M Akishita",Age-related sarcopenia and its pathophysiological bases,2016,Inflammation and regeneration,981,111,12.33,37,3
110,"A Kaluźniak-Szymanowska, R Krzymińska-Siemaszko…","Malnutrition, sarcopenia, and malnutrition-sarcopenia syndrome in older adults with COPD",2021,Nutrients,513,110,27.5,37,3
